filename,file_path,file_size_gb,duration,format,video_codec,width,height,framerate,bitrate,audio_codec,audio_channels,audio_sample_rate
Venom - Let There Be Carnage (2021).mkv,/data/media/Movies/Venom - Let There Be Carnage (2021)/Venom - Let There Be Carnage (2021).mkv,16.97,5836.623000,"matroska,webm",hevc,3840,2160,23.976023976023978,24973683,eac3,6,48000
Appleseed 0 (1988).mkv,/data/media/Movies/Appleseed (1988)/Appleseed 0 (1988).mkv,1.71,4048.348000,"matroska,webm",hevc,1440,1080,23.976023976023978,3638334,opus,2,48000
Castle Of Cagliostro (1979).mp4,/data/media/Movies/Castle Of Cagliostro (1979)/Castle Of Cagliostro (1979).mp4,1.00,5969.086667,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,692,23.976023976023978,1439159,ac3,2,48000
Nausicaa of the Valley of the Wind (1984).mp4,/data/media/Movies/Nausicaa of the Valley of the Wind (1984)/Nausicaa of the Valley of the Wind (1984).mp4,1.04,7022.074000,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,692,23.976023976023978,1272418,ac3,2,48000
Castle In The Sky (1986).mp4,/data/media/Movies/Castle In The Sky (1986)/Castle In The Sky (1986).mp4,1.13,7473.658000,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,692,23.976023976023978,1294327,ac3,2,48000
Grave of the Fireflies (1988).mp4,/data/media/Movies/Grave of the Fireflies (1988)/Grave of the Fireflies (1988).mp4,1.06,5312.598958,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,692,23.976023976023978,1706727,ac3,2,48000
Only Yesterday (1991).mp4,/data/media/Movies/Only Yesterday (1991)/Only Yesterday (1991).mp4,1.30,7126.272000,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,720,23.976023976023978,1570696,ac3,2,48000
Heavy Metal (1981).mp4,/data/media/Movies/Heavy Metal (1981)/Heavy Metal (1981).mp4,0.68,5420.540125,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,688,23.976023976023978,1083821,aac,2,48000
Porco Rosso (1992).mp4,/data/media/Movies/Porco Rosso (1992)/Porco Rosso (1992).mp4,1.06,5599.936000,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,692,23.976023976023978,1623643,ac3,2,48000
Ocean Waves (1993).mp4,/data/media/Movies/Ocean Waves (1994)/Ocean Waves (1993).mp4,0.84,4356.224000,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,684,23.976023976023978,1647918,ac3,2,48000
Pom Poko (1994).mp4,/data/media/Movies/Pom Poko (1994)/Pom Poko (1994).mp4,1.15,7151.394000,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,692,23.976023976023978,1378607,ac3,2,48000
Whisper Of The Heart (1995).mp4,/data/media/Movies/Whisper of the Heart (1995)/Whisper Of The Heart (1995).mp4,1.04,6666.682000,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,692,23.976023976023978,1338054,ac3,2,48000
My Neighbors the Yamadas (1999).mp4,/data/media/Movies/My Neighbors the Yamadas (1999)/My Neighbors the Yamadas (1999).mp4,0.89,6220.297417,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,692,23.976023976023978,1227963,ac3,2,48000
Ponyo (2008).mp4,/data/media/Movies/Ponyo (2008)/Ponyo (2008).mp4,0.94,6175.226000,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,692,23.976023976023978,1313336,ac3,2,48000
The Cat Returns (2002).mp4,/data/media/Movies/The Cat Returns (2002)/The Cat Returns (2002).mp4,0.86,4504.416000,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,692,23.976023976023978,1632764,ac3,2,48000
The Secret World of Arrietty (2010).mp4,/data/media/Movies/The Secret World of Arrietty (2010)/The Secret World of Arrietty (2010).mp4,1.00,5700.800000,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,692,23.976023976023978,1502410,ac3,2,48000
From Up On Poppy Hill (2011).mp4,/data/media/Movies/From Up on Poppy Hill (2011)/From Up On Poppy Hill (2011).mp4,1.00,5490.651833,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,692,23.976023976023978,1570871,ac3,2,48000
The Wind Rises (2013).mp4,/data/media/Movies/The Wind Rises (2013)/The Wind Rises (2013).mp4,1.05,7591.125208,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,692,23.976023976023978,1187987,ac3,1,48000
The Tale of the Princess Kaguya (2013).mp4,/data/media/Movies/The Tale of The Princess Kaguya (2013)/The Tale of the Princess Kaguya (2013).mp4,1.13,8233.402000,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,692,23.976023976023978,1181556,ac3,2,48000
When Marnie Was There (2014).mp4,/data/media/Movies/When Marnie Was There (2014)/When Marnie Was There (2014).mp4,0.97,6156.642500,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,720,23.976023976023978,1350900,ac3,2,48000
The Red Turtle (2016).mp4,/data/media/Movies/The Red Turtle (2016)/The Red Turtle (2016).mp4,0.86,4836.352000,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,692,24.0,1528443,ac3,2,48000
Earwig and the Witch (2020).mp4,/data/media/Movies/Earwig and the Witch (2021)/Earwig and the Witch (2020).mp4,0.95,4964.928000,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,692,23.976023976023978,1649764,ac3,2,48000
I Saw the TV Glow (2024).mkv,/data/media/Movies/I Saw the TV Glow (2024)/I Saw the TV Glow (2024).mkv,30.39,5994.059000,"matroska,webm",h264,1920,1080,23.976023976023978,43555570,truehd,8,48000
Howls Moving Castle (2004).mp4,/data/media/Movies/Howl's Moving Castle (2004)/Howls Moving Castle (2004).mp4,1.04,7149.058583,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,692,23.976023976023978,1249937,ac3,2,48000
Blade Runner (1982).mp4,/data/media/Movies/Blade Runner - The Final Cut (2007)/Blade Runner (1982).mp4,2.07,7056.810667,"mov,mp4,m4a,3gp,3g2,mj2",h264,1854,800,23.976023976023978,2524783,aac,6,48000
Superman Batman - Public Enemies (2009).avi,/data/media/Movies/Superman Batman - Public Enemies (2009)/Superman Batman - Public Enemies (2009).avi,0.69,4005.093878,avi,mpeg4,704,384,23.976023976023978,1469707,mp3,2,44100
Childs Play (1988).mp4,/data/media/Movies/Child's Play (1988)/Childs Play (1988).mp4,2.50,5227.904000,"mov,mp4,m4a,3gp,3g2,mj2",h264,1920,1040,23.976023976023978,4113308,aac,2,48000
Childs Play 2 (1990).mp4,/data/media/Movies/Child's Play 2 (1990)/Childs Play 2 (1990).mp4,2.41,5036.928000,"mov,mp4,m4a,3gp,3g2,mj2",h264,1920,1040,23.976023976023978,4112018,aac,2,48000
Childs Play 3 Look Whos Stalking (1991).mp4,/data/media/Movies/Child's Play 3 (1991)/Childs Play 3 Look Whos Stalking (1991).mp4,2.57,5372.032700,"mov,mp4,m4a,3gp,3g2,mj2",h264,1920,1040,23.976023976023978,4113681,aac,2,48000
Cult Of Chucky (2017).mp4,/data/media/Movies/Cult of Chucky (2017)/Cult Of Chucky (2017).mp4,2.61,5449.026700,"mov,mp4,m4a,3gp,3g2,mj2",h264,1920,1080,23.976023976023978,4114633,aac,2,48000
Batman The Dark Knight Returns Part-1.mp4,"/data/media/Movies/Batman - The Dark Knight Returns, Part 1 (2012)/Batman The Dark Knight Returns Part-1.mp4",0.49,4582.698667,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,720,23.976023976023978,915359,aac,2,48000
